date,stock_id,stock_name,open,high,low,close,volume,turnover,source,updated_at
2026-01-02,2330,TSMC,49.6,50.8,49.0,50.0,2000000,100000000.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-05,2330,TSMC,49.68,50.88,49.08,50.08,2010000,100660800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-06,2330,TSMC,49.76,50.96,49.16,50.16,2020000,101323200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-07,2330,TSMC,49.84,51.04,49.24,50.24,2030000,101987200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-08,2330,TSMC,49.92,51.12,49.32,50.32,2040000,102652800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-09,2330,TSMC,50.0,51.2,49.4,50.4,2050000,103320000.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-12,2330,TSMC,50.08,51.28,49.48,50.48,2060000,103988800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-13,2330,TSMC,50.16,51.36,49.56,50.56,2070000,104659200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-14,2330,TSMC,50.24,51.44,49.64,50.64,2080000,105331200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-15,2330,TSMC,50.32,51.52,49.72,50.72,2090000,106004800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-16,2330,TSMC,50.4,51.6,49.8,50.8,2100000,106680000.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-19,2330,TSMC,50.48,51.68,49.88,50.88,2110000,107356800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-20,2330,TSMC,50.56,51.76,49.96,50.96,2120000,108035200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-21,2330,TSMC,50.64,51.84,50.04,51.04,2130000,108715200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-22,2330,TSMC,50.72,51.92,50.12,51.12,2140000,109396800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-23,2330,TSMC,50.8,52.0,50.2,51.2,2150000,110080000.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-26,2330,TSMC,50.88,52.08,50.28,51.28,2160000,110764800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-27,2330,TSMC,50.96,52.16,50.36,51.36,2170000,111451200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-28,2330,TSMC,51.04,52.24,50.44,51.44,2180000,112139200.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-29,2330,TSMC,51.12,52.32,50.52,51.52,2190000,112828800.0,mock_demo_daily,2026-06-18T18:07:33
2026-01-30,2330,TSMC,51.2,52.4,50.6,51.6,2200000,113520000.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-02,2330,TSMC,51.28,52.48,50.68,51.68,2210000,114212800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-03,2330,TSMC,51.36,52.56,50.76,51.76,2220000,114907200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-04,2330,TSMC,51.44,52.64,50.84,51.84,2230000,115603200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-05,2330,TSMC,51.52,52.72,50.92,51.92,2240000,116300800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-06,2330,TSMC,51.6,52.8,51.0,52.0,2250000,117000000.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-09,2330,TSMC,51.68,52.88,51.08,52.08,2260000,117700800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-10,2330,TSMC,51.76,52.96,51.16,52.16,2270000,118403200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-11,2330,TSMC,51.84,53.04,51.24,52.24,2280000,119107200.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-12,2330,TSMC,51.92,53.12,51.32,52.32,2290000,119812800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-13,2330,TSMC,52.0,53.2,51.4,52.4,2300000,120520000.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-16,2330,TSMC,52.08,53.28,51.48,52.48,2310000,121228800.0,mock_demo_daily,2026-06-18T18:07:33
2026-02-17,2330,TSMC,52.16,53.36,51.56,52.56,2320000,121939200.0,mock_demo_daily,2026-06-18T18:07:33
